AnswerId,QuestionId,SectionId,ResponseCode,ResponseLabel,Type
10100102,M010_01,,2,Skalenwert 2,Ordinal
10100103,M010_01,,3,Skalenwert 3,Ordinal
10100104,M010_01,,4,Skalenwert 4,Ordinal
10100105,M010_01,,5,Skalenwert 5,Ordinal
10100106,M010_01,,6,Skalenwert 6,Ordinal
10100107,M010_01,,7,Skalenwert 7,Ordinal
10100108,M010_01,,8,Skalenwert 8,Ordinal
10100109,M010_01,,9,Skalenwert 9,Ordinal
10100110,M010_01,,10,sehr [10],Ordinal
10100111,M010_01,,-9,nicht beantwortet,Ordinal
20010101,SU01_01,,1,trifft gar nicht zu,Ordinal
20010102,SU01_01,,2,Likert response 2,Ordinal
20010103,SU01_01,,3,Likert response 3,Ordinal
20010104,SU01_01,,4,Likert response 4,Ordinal
20010105,SU01_01,,5,trifft voll zu,Ordinal
20010106,SU01_01,,-9,nicht beantwortet,Ordinal
20010201,SU01_02,,1,trifft voll zu,Ordinal
20010202,SU01_02,,2,Likert response 2,Ordinal
20010203,SU01_02,,3,Likert response 3,Ordinal
20010204,SU01_02,,4,Likert response 4,Ordinal
20010205,SU01_02,,5,trifft gar nicht zu,Ordinal
20010206,SU01_02,,-9,nicht beantwortet,Ordinal
20010301,SU01_03,,1,trifft gar nicht zu,Ordinal
20010302,SU01_03,,2,Likert response 2,Ordinal
20010303,SU01_03,,3,Likert response 3,Ordinal
20010304,SU01_03,,4,Likert response 4,Ordinal
20010305,SU01_03,,5,trifft voll zu,Ordinal
20010306,SU01_03,,-9,nicht beantwortet,Ordinal
20010401,SU01_04,,1,trifft voll zu,Ordinal
20010402,SU01_04,,2,Likert response 2,Ordinal
20010403,SU01_04,,3,Likert response 3,Ordinal
20010404,SU01_04,,4,Likert response 4,Ordinal
20010405,SU01_04,,5,trifft gar nicht zu,Ordinal
20010406,SU01_04,,-9,nicht beantwortet,Ordinal
20010501,SU01_05,,1,trifft gar nicht zu,Ordinal
20010502,SU01_05,,2,Likert response 2,Ordinal
20010503,SU01_05,,3,Likert response 3,Ordinal
20010504,SU01_05,,4,Likert response 4,Ordinal
20010505,SU01_05,,5,trifft voll zu,Ordinal
20010506,SU01_05,,-9,nicht beantwortet,Ordinal
20010601,SU01_06,,1,trifft voll zu,Ordinal
20010602,SU01_06,,2,Likert response 2,Ordinal
20010603,SU01_06,,3,Likert response 3,Ordinal
20010604,SU01_06,,4,Likert response 4,Ordinal
20010605,SU01_06,,5,trifft gar nicht zu,Ordinal
20010606,SU01_06,,-9,nicht beantwortet,Ordinal
20010701,SU01_07,,1,trifft gar nicht zu,Ordinal
20010702,SU01_07,,2,Likert response 2,Ordinal
20010703,SU01_07,,3,Likert response 3,Ordinal
20010704,SU01_07,,4,Likert response 4,Ordinal
20010705,SU01_07,,5,trifft voll zu,Ordinal
20010706,SU01_07,,-9,nicht beantwortet,Ordinal
20010801,SU01_08,,1,trifft voll zu,Ordinal
20010802,SU01_08,,2,Likert response 2,Ordinal
20010803,SU01_08,,3,Likert response 3,Ordinal
20010804,SU01_08,,4,Likert response 4,Ordinal
20010805,SU01_08,,5,trifft gar nicht zu,Ordinal
20010806,SU01_08,,-9,nicht beantwortet,Ordinal
20010901,SU01_09,,1,trifft gar nicht zu,Ordinal
20010902,SU01_09,,2,Likert response 2,Ordinal
20010903,SU01_09,,3,Likert response 3,Ordinal
20010904,SU01_09,,4,Likert response 4,Ordinal
20010905,SU01_09,,5,trifft voll zu,Ordinal
20010906,SU01_09,,-9,nicht beantwortet,Ordinal
20011001,SU01_10,,1,trifft voll zu,Ordinal
20011002,SU01_10,,2,Likert response 2,Ordinal
20011003,SU01_10,,3,Likert response 3,Ordinal
20011004,SU01_10,,4,Likert response 4,Ordinal
20011005,SU01_10,,5,trifft gar nicht zu,Ordinal
20011006,SU01_10,,-9,nicht beantwortet,Ordinal
30010001,UM01,A1,2,2 Überwiegend langweilig,Nominal
30010002,UM01,A1,3,"3 OK, unterhaltsam genug um sich für eine kurze Zeit mit der Lernplattform zu beschäftigen (< 5 Minuten)",Nominal
30010003,UM01,A1,4,"4 Mittelmäßig lustig und unterhaltsam, würde einen User für einige Zeit unterhalten (5-10 Minuten)",Nominal
30010004,UM01,A1,5,"5 Sehr unterhaltsam und lustig, regt zu mehrmaligen Benutzen an",Nominal
30010005,UM01,A1,-9,nicht beantwortet,Nominal
30020001,UM02,A2,1,1<tab>Überhaupt nicht interessant,Nominal
30020002,UM02,A2,2,2<tab>Überwiegend nicht interessant,Nominal
30020003,UM02,A2,3,"3<tab>OK, weder interessant noch uninteressant; Nutzer würden sich damit eine kurze Zeit beschäftigen (< 5 Minuten)",Nominal
30020004,UM02,A2,4,4<tab>Mittelmäßig interessant; Nutzer würden sich damit einige Zeit beschäftigen (insgesamt 5-10 Minuten),Nominal
30020005,UM02,A2,5,"5<tab>Überaus interessant, so dass man zur wiederholten Nutzung der Lernplattform angeregt wird",Nominal
30020006,UM02,A2,-9,nicht beantwortet,Nominal
30030001,UM03,A3,1,1<tab>Keine interaktiven Funktionen und/oder keine Eingaben der Nutzer sind möglich,Nominal
30030002,UM03,A3,2,"2<tab>Unzureichende Interaktivität, oder Feedback, oder Optionen für Eingaben der User, limitierte Funktionalität",Nominal
30030003,UM03,A3,3,"3<tab>Grundlegende interaktive Funktionen, angemessene Funktionalität",Nominal
30030004,UM03,A3,4,"4<tab>Vielfältige interaktive Funktionen, Feedback und Optionen für Eingaben der Nutzer sind vorhanden",Nominal
30030005,UM03,A3,5,"5<tab>Interaktive Funktionen, Feedback und Optionen für Eingaben der Nutzer sind auf einem so hohen Niveau, dass man das Gefühl hat, die Lernplattform stellt sich auf die Person des Nutzers ein",Nominal
30030006,UM03,A3,-9,nicht beantwortet,Nominal
30040001,UM04,A4,1,1<tab>Sehr unpassend/unklar/verwirrend,Nominal
30040002,UM04,A4,2,2<tab>Eher unpassend/unklar/verwirrend,Nominal
30040003,UM04,A4,3,"3<tab>OK, aber nicht Zielgruppen orientiert. Kann unpassend/unklar/verwirrend sein",Nominal
30040004,UM04,A4,4,"4<tab>Zielgruppenspezifisch, mit kleinen Mängeln",Nominal
30040005,UM04,A4,5,"5<tab>Sehr zielgruppenspezifisch, keine Probleme",Nominal
30040006,UM04,A4,-9,nicht beantwortet,Nominal
30060001,UM06,B1,1,"1<tab>Die Lernplattform funktioniert nicht. Keine oder unzureichende Antwort (z.B. Abbrüche, Fehler, nicht funktionierende Funktionen, etc.)",Nominal
30060002,UM06,B1,2,"2<tab>Einige Funktionen laufen, jedoch langsam oder größere technische Probleme.",Nominal
30060003,UM06,B1,3,3<tab>Lernplattform funktioniert im Allgemeinen. Einige technische Probleme oder gelegentlich langsam,Nominal
30060004,UM06,B1,4,"4<tab>Die Lernplattform funktioniert insgesamt gut, mit kleineren, vernachlässigbaren Problemen",Nominal
30060005,UM06,B1,5,"5<tab>Die Lernplattform arbeitet fehlerfrei und schnell; keine technischen Fehler, oder – falls zutreffend – enthält einen Fortschrittsbalken",Nominal
30060006,UM06,B1,-9,nicht beantwortet,Nominal
30070001,UM07,B2,1,1<tab>Keine oder unzureichende Erklärungen; Menübeschriftungen und Symbole sind verwirrend und/oder kompliziert,Nominal
30070002,UM07,B2,2,2<tab>Nach hohem Aufwand benutzbar,Nominal
30070003,UM07,B2,3,3<tab>Nach einigem Aufwand benutzbar,Nominal
30070004,UM07,B2,4,4<tab>Benutzung ist leicht erlernbar oder die Lernplattform weist klare Instruktionen zur Benutzung auf,Nominal
30070005,UM07,B2,5,5<tab>Eine intuitive und einfache Benutzung der Lernplattform ist sofort möglich,Nominal
30070006,UM07,B2,-9,nicht beantwortet,Nominal
30080001,UM08,B3,1,1<tab>Verschiedene Abschnitte wirken unzusammenhängend/zufällig/verwirrend. Die Navigation ist kompliziert,Nominal
30080002,UM08,B3,2,2<tab>Nach geraumer Zeit und hohem Aufwand benutzbar,Nominal
30080003,UM08,B3,3,3<tab>Nach einiger Zeit und einigem Bemühen benutzbar,Nominal
30080004,UM08,B3,4,4<tab>Leicht zu bedienen; es fehlen vernachlässigbare Verknüpfungen,Nominal
30080005,UM08,B3,5,"5<tab>Sehr logisch, einfach, klar und intuitive Menüführung. Bietet Verknüpfungen zum schnellen Wechsel zwischen verschiedenen Bereichen/Menüpunkten an",Nominal
30080006,UM08,B3,-9,nicht beantwortet,Nominal
30090001,UM09,C1,1,"1<tab>Mangelhaftes Design – unordentlich/ungeordnet; einige Optionen können nicht ausgewählt, gefunden, gesehen oder gelesen werden; Bildschirm wird nicht optimal genutzt",Nominal
30090002,UM09,C1,2,"2<tab>Schwaches Design - nicht einheitlich, unklar; einige Optionen sind schwierig auszuwählen, zu finden, zu sehen und zu lesen.",Nominal
30090003,UM09,C1,3,"3<tab>Mittelmäßige Qualität des Designs - einige Probleme Optionen auszuwählen, zu finden, zu sehen und zu lesen.",Nominal
30090004,UM09,C1,4,"4<tab>Gutes Design - überwiegend klar; Optionen können ausgewählt, gefunden, gesehen und gelesen werden.",Nominal
30090005,UM09,C1,5,"5<tab>Professionelles Design - einfach, klar, übersichtlich, logisch organisiert; Bildschirm wird optimal genutzt; jede einzelne Komponente des Designs erfüllt seinen Zweck",Nominal
30090006,UM09,C1,-9,nicht beantwortet,Nominal
30100001,UM10,C2,1,"1<tab>Grafiken wirken amateurhaft, schlechtes visuelles Design - völlig unproportional, stilistisch nicht einheitlich",Nominal
30100002,UM10,C2,2,2<tab>Niedrige Qualität (z.B. Auflösung) der Grafiken. Niedrige Qualität des visuellen Designs - unproportional und stilistisch nicht einheitlich,Nominal
30100003,UM10,C2,3,3<tab>Mittelmäßige Qualität der Grafiken und des visuellen Designs - überwiegend einheitlich im Design,Nominal
30100004,UM10,C2,4,4<tab>Hohe Qualität der Grafiken und gute Auflösung des visuellen Designs - überwiegend proportional und einheitlich im Stil,Nominal
30100005,UM10,C2,5,5<tab>Sehr hohe Qualität der Grafiken und sehr gute Auflösung des visuellen Designs - durchgehend proportional und einheitlich im Stil,Nominal
30100006,UM10,C2,-9,nicht beantwortet,Nominal
30110001,UM11,C3,1,"1<tab>Kein visueller Anreiz - unangenehm zu betrachten, schwaches Design, beißende oder nicht zusammenpassende Farben",Nominal
30110002,UM11,C3,2,"2<tab>Wenig visueller Anreiz - schlechtes Design, schlechter Farbgebrauch, visuell langweilig",Nominal
30110003,UM11,C3,3,3<tab>Etwas visueller Anreiz - durchschnittlich weder angenehm noch unangenehm,Nominal
30110004,UM11,C3,4,"4<tab>Hoher visueller Anreiz - makellose Grafiken, einheitliches und professionelles Design",Nominal
30110005,UM11,C3,5,"5<tab>Wie in Punkt 4 beschrieben, darüber hinaus: Überaus großer visueller Anreiz - einprägsam, sticht positiv heraus; Farbgestaltung wirkt sich positiv auf die Optionen und die Menüführung der Lernplattform aus",Nominal
30110006,UM11,C3,-9,nicht beantwortet,Nominal
30120001,UM12,D1,6,N/A <tab>Die Lernplattform enthält keine Informationen,Nominal
30120002,UM12,D1,1,"1<tab>Irrelevant, ungeeignet, unzusammenhängend, nicht korrekt",Nominal
30120003,UM12,D1,2,"2<tab>Kaum relevant, kaum geeignet, kaum zusammenhängend, möglicherweise nicht korrekt",Nominal
30120004,UM12,D1,3,"3<tab>Mittelmäßig relevant, mittelmäßig geeignet, mittelmäßig zusammenhängend, wirkt korrekt",Nominal
30120005,UM12,D1,4,"4<tab>Relevant, geeignet, zusammenhängend, korrekt",Nominal
30120006,UM12,D1,5,"5<tab>Sehr Relevant, sehr geeignet, sehr zusammenhängend, sehr korrekt",Nominal
30120007,UM12,D1,-9,nicht beantwortet,Nominal
30130001,UM13,D2,6,N/A <tab>Die Lernplattform beinhaltet keine Informationen,Nominal
30130002,UM13,D2,1,1<tab>Minimal oder überfordernd,Nominal
30130003,UM13,D2,2,2<tab>Unzureichend oder möglicherweise überfordernd,Nominal
30130004,UM13,D2,3,"3<tab>Ok, aber weder umfangreich noch prägnant",Nominal
30130005,UM13,D2,4,"4<tab>Bietet eine große Menge an Informationen, hat Lücken oder unnötige Details oder bietet keine weiteren Hinweise auf Literatur zum Vertiefen",Nominal
30130006,UM13,D2,5,5<tab>Umfangreich und prägnant; beinhaltet Hinweise auf Literatur zum Vertiefen,Nominal
30130007,UM13,D2,-9,nicht beantwortet,Nominal
30140001,UM14,D3,6,N/A <tab>Lernplattform beinhaltet keine visuellen Informationen (beinhaltet z.B. nur Audio-Dateien oder Text),Nominal
30140002,UM14,D3,1,"1<tab>Vollkommen unklar/verwirrend/falsch oder visuelle Informationen sind eigentlich nötig, fehlen aber",Nominal
30140003,UM14,D3,2,2<tab>Überwiegend unklar/verwirrend/falsch,Nominal
30140004,UM14,D3,3,"3<tab>Ok, aber oft unklar/verwirrend/falsch",Nominal
30140005,UM14,D3,4,"4<tab>Meistens klar, logisch und richtig, mit unerheblichen/vernachlässigbaren Problemen",Nominal
30140006,UM14,D3,5,"5<tab>Perfekt klar, logisch und richtig",Nominal
30140007,UM14,D3,-9,nicht beantwortet,Nominal
30150001,UM15,D4,6,N/A<tab>Lernplattform liefert diesbezüglich keine Informationen,Nominal
30150002,UM15,D4,1,1<tab>Die Quelle ist fragwürdig,Nominal
30150003,UM15,D4,2,2<tab>Es fehlt an Glaubwürdigkeit der Quelle,Nominal
30150004,UM15,D4,3,"3<tab>Keine fragwürdige Quelle, aber die Legitimität der Quelle ist unklar",Nominal
30150005,UM15,D4,4,4<tab>Stammt möglicherweise von einer legitimen Quelle,Nominal
30150006,UM15,D4,5,5<tab>Stammt definitiv aus einer legitimen/spezialisierten Quelle,Nominal
30150007,UM15,D4,-9,nicht beantwortet,Nominal
30160001,UM16,E1,1,1<tab>Ich würde die Lernplattform niemanden empfehlen,Nominal
30160002,UM16,E1,2,2<tab>Ich würde die Lernplattform nur wenigen Personen empfehlen,Nominal
30160003,UM16,E1,3,3<tab>Ich würde die Lernplattform einigen Personen empfehlen,Nominal
30160004,UM16,E1,4,4<tab>Ich würde die Lernplattform vielen Personen empfehlen,Nominal
30160005,UM16,E1,5,5<tab>Ich würde die Lernplattform jedem empfehlen,Nominal
30160006,UM16,E1,-9,nicht beantwortet,Nominal
30170001,UM17,E2,1,1<tab>Nie,Nominal
30170002,UM17,E2,2,2<tab>1-2,Nominal
30170003,UM17,E2,3,3<tab>3-10,Nominal
30170004,UM17,E2,4,4<tab>10-50,Nominal
30170005,UM17,E2,5,5<tab>>50,Nominal
30170006,UM17,E2,-9,nicht beantwortet,Nominal
30180001,UM18,E3,1,1<tab>Überhaupt nicht,Nominal
30180002,UM18,E3,2,2,Nominal
30180003,UM18,E3,3,3,Nominal
30180004,UM18,E3,4,4,Nominal
30180005,UM18,E3,5,5<tab>Auf jeden Fall,Nominal
30180006,UM18,E3,-9,nicht beantwortet,Nominal
30190001,UM19,E4,1,"1 Eine der schlechtesten Lernplattformen, die ich je genutzt habe",Nominal
30190002,UM19,E4,2,2,Nominal
30190003,UM19,E4,3,3 Durchschnittlich,Nominal
30190004,UM19,E4,4,4,Nominal
30190005,UM19,E4,5,"5 Eine der besten Lernplattformen, die ich je genutzt habe",Nominal
30190006,UM19,E4,-9,nicht beantwortet,Nominal
30200001,UM20,F1,1,1 Stimme überhaupt nicht zu,Nominal
30200002,UM20,F1,2,2,Nominal
30200003,UM20,F1,3,3,Nominal
30200004,UM20,F1,4,4,Nominal
30200005,UM20,F1,5,5 Stimme sehr zu,Nominal
30200006,UM20,F1,-9,nicht beantwortet,Nominal
30210001,UM21,F2,1,1 Stimme überhaupt nicht zu,Nominal
30210002,UM21,F2,2,2,Nominal
30210003,UM21,F2,3,3,Nominal
30210004,UM21,F2,4,4,Nominal
30210005,UM21,F2,5,5 Stimme sehr zu,Nominal
30210006,UM21,F2,-9,nicht beantwortet,Nominal
30220001,UM22,F3,1,1 Stimme überhaupt nicht zu,Nominal
30220002,UM22,F3,2,2,Nominal
30220003,UM22,F3,3,3,Nominal
30220004,UM22,F3,4,4,Nominal
30220005,UM22,F3,5,5 Stimme sehr zu,Nominal
30220006,UM22,F3,-9,nicht beantwortet,Nominal
30230001,UM23,F4,1,1 Stimme überhaupt nicht zu,Nominal
30230002,UM23,F4,2,2,Nominal
30230003,UM23,F4,3,3,Nominal
30230004,UM23,F4,4,4,Nominal
30230005,UM23,F4,5,5 Stimme sehr zu,Nominal
30230006,UM23,F4,-9,nicht beantwortet,Nominal
30240001,UM24,F5,1,1 Stimme überhaupt nicht zu,Nominal
30240002,UM24,F5,2,2,Nominal
30240003,UM24,F5,3,3,Nominal
30240004,UM24,F5,4,4,Nominal
30240005,UM24,F5,5,5 Stimme sehr zu,Nominal
30240006,UM24,F5,-9,nicht beantwortet,Nominal
30250001,UM25,F6,1,1 Stimme überhaupt nicht zu,Nominal
30250002,UM25,F6,2,2,Nominal
30250003,UM25,F6,3,3,Nominal
30250004,UM25,F6,4,4,Nominal
30250005,UM25,F6,5,5 Stimme sehr zu,Nominal
30250006,UM25,F6,-9,nicht beantwortet,Nominal
10020112,M002_01,,null,No recorded response,NullAnswer
10030112,M003_01,,null,No recorded response,NullAnswer
10040112,M004_01,,null,No recorded response,NullAnswer
10050005,M005,,null,No recorded response,NullAnswer
10060112,M006_01,,null,No recorded response,NullAnswer
10070101,M007_01,,TEXT,Textual response,Textual
10070102,M007_01,,null,No recorded response,NullAnswer
10080101,M008_01,,TEXT,Textual response,Textual
10080102,M008_01,,null,No recorded response,NullAnswer
10100112,M010_01,,null,No recorded response,NullAnswer
20010107,SU01_01,,null,No recorded response,NullAnswer
20010207,SU01_02,,null,No recorded response,NullAnswer
20010307,SU01_03,,null,No recorded response,NullAnswer
20010407,SU01_04,,null,No recorded response,NullAnswer
20010507,SU01_05,,null,No recorded response,NullAnswer
20010607,SU01_06,,null,No recorded response,NullAnswer
20010707,SU01_07,,null,No recorded response,NullAnswer
20010807,SU01_08,,null,No recorded response,NullAnswer
20010907,SU01_09,,null,No recorded response,NullAnswer
20011007,SU01_10,,null,No recorded response,NullAnswer
30010006,UM01,A1,null,No recorded response,NullAnswer
30020007,UM02,A2,null,No recorded response,NullAnswer
30030007,UM03,A3,null,No recorded response,NullAnswer
30040007,UM04,A4,null,No recorded response,NullAnswer
30060007,UM06,B1,null,No recorded response,NullAnswer
30070007,UM07,B2,null,No recorded response,NullAnswer
30080007,UM08,B3,null,No recorded response,NullAnswer
30090007,UM09,C1,null,No recorded response,NullAnswer
30100007,UM10,C2,null,No recorded response,NullAnswer
30110007,UM11,C3,null,No recorded response,NullAnswer
30120008,UM12,D1,null,No recorded response,NullAnswer
30130008,UM13,D2,null,No recorded response,NullAnswer
30140008,UM14,D3,null,No recorded response,NullAnswer
30150008,UM15,D4,null,No recorded response,NullAnswer
30160007,UM16,E1,null,No recorded response,NullAnswer
30170007,UM17,E2,null,No recorded response,NullAnswer
30180007,UM18,E3,null,No recorded response,NullAnswer
30190007,UM19,E4,null,No recorded response,NullAnswer
30200007,UM20,F1,null,No recorded response,NullAnswer
30210007,UM21,F2,null,No recorded response,NullAnswer
30220007,UM22,F3,null,No recorded response,NullAnswer
30230007,UM23,F4,null,No recorded response,NullAnswer
30240007,UM24,F5,null,No recorded response,NullAnswer
30250007,UM25,F6,null,No recorded response,NullAnswer
