questionnaire,questionnaireLabel,question,questionText,answer,responseCode,responseLabel,rawResponseValue,frequency,questionnaire_short,question_short,answer_short,answer_display,question_total,percentage_within_question
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020106,6,Skalenwert 6,6,4,ME1,M002_01,10020106,Skalenwert 6,266,1.5
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020112,,No recorded response,NO_RECORDED_RESPONSE,4,ME1,M002_01,10020112,No recorded response,266,1.5
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020102,2,[2],2,2,ME1,M002_01,10020102,[2],266,0.75
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020102,2,Skalenwert 2,2,2,ME1,M002_01,10020102,Skalenwert 2,266,0.75
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020104,4,[4],4,2,ME1,M002_01,10020104,[4],266,0.75
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020104,4,Skalenwert 4,4,2,ME1,M002_01,10020104,Skalenwert 4,266,0.75
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020101,1,�berhaupt nicht [1],1,1,ME1,M002_01,10020101,�berhaupt nicht [1],266,0.38
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030110,10,alle [10],10,66,ME1,M003_01,10030110,alle [10],261,25.29
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030109,9,[9],9,31,ME1,M003_01,10030109,[9],261,11.88
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030109,9,Skalenwert 9,9,31,ME1,M003_01,10030109,Skalenwert 9,261,11.88
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030108,8,[8],8,28,ME1,M003_01,10030108,[8],261,10.73
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030108,8,Skalenwert 8,8,28,ME1,M003_01,10030108,Skalenwert 8,261,10.73
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030107,7,[7],7,13,ME1,M003_01,10030107,[7],261,4.98
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030107,7,Skalenwert 7,7,13,ME1,M003_01,10030107,Skalenwert 7,261,4.98
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030106,6,[6],6,11,ME1,M003_01,10030106,[6],261,4.21
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030106,6,Skalenwert 6,6,11,ME1,M003_01,10030106,Skalenwert 6,261,4.21
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030105,5,[5],5,9,ME1,M003_01,10030105,[5],261,3.45
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030105,5,Skalenwert 5,5,9,ME1,M003_01,10030105,Skalenwert 5,261,3.45
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030112,,No recorded response,NO_RECORDED_RESPONSE,4,ME1,M003_01,10030112,No recorded response,261,1.53
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030102,2,[2],2,2,ME1,M003_01,10030102,[2],261,0.77
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030102,2,Skalenwert 2,2,2,ME1,M003_01,10030102,Skalenwert 2,261,0.77
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030101,1,�berhaupt keine [1],1,1,ME1,M003_01,10030101,�berhaupt keine [1],261,0.38
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030104,4,[4],4,1,ME1,M003_01,10030104,[4],261,0.38
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030104,4,Skalenwert 4,4,1,ME1,M003_01,10030104,Skalenwert 4,261,0.38
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040110,10,sehr gut [10],10,59,ME1,M004_01,10040110,sehr gut [10],268,22.01
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040109,9,[9],9,38,ME1,M004_01,10040109,[9],268,14.18
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040109,9,Skalenwert 9,9,38,ME1,M004_01,10040109,Skalenwert 9,268,14.18
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040108,8,[8],8,36,ME1,M004_01,10040108,[8],268,13.43
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040108,8,Skalenwert 8,8,36,ME1,M004_01,10040108,Skalenwert 8,268,13.43
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040107,7,[7],7,12,ME1,M004_01,10040107,[7],268,4.48
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040107,7,Skalenwert 7,7,12,ME1,M004_01,10040107,Skalenwert 7,268,4.48
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040106,6,[6],6,9,ME1,M004_01,10040106,[6],268,3.36
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040106,6,Skalenwert 6,6,9,ME1,M004_01,10040106,Skalenwert 6,268,3.36
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040112,,No recorded response,NO_RECORDED_RESPONSE,4,ME1,M004_01,10040112,No recorded response,268,1.49
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040105,5,[5],5,3,ME1,M004_01,10040105,[5],268,1.12
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040105,5,Skalenwert 5,5,3,ME1,M004_01,10040105,Skalenwert 5,268,1.12
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040102,2,[2],2,2,ME1,M004_01,10040102,[2],268,0.75
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040102,2,Skalenwert 2,2,2,ME1,M004_01,10040102,Skalenwert 2,268,0.75
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040104,4,[4],4,2,ME1,M004_01,10040104,[4],268,0.75
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040104,4,Skalenwert 4,4,2,ME1,M004_01,10040104,Skalenwert 4,268,0.75
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M004_01,Verst�ndnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,http://digistrucmed.org/questionnaire#10040101,1,�berhaupt nicht [1],1,1,ME1,M004_01,10040101,�berhaupt nicht [1],268,0.37
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M005,Medienart,http://digistrucmed.org/questionnaire#10050001,1,Text,1,88,ME1,M005,10050001,Text,166,53.01
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M005,Medienart,http://digistrucmed.org/questionnaire#10050002,2,Video,2,56,ME1,M005,10050002,Video,166,33.73
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M005,Medienart,http://digistrucmed.org/questionnaire#10050003,3,Quiz,3,18,ME1,M005,10050003,Quiz,166,10.84
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M005,Medienart,http://digistrucmed.org/questionnaire#10050005,,No recorded response,NO_RECORDED_RESPONSE,4,ME1,M005,10050005,No recorded response,166,2.41
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060110,10,sehr gut [10],10,55,ME1,M006_01,10060110,sehr gut [10],272,20.22
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060108,8,[8],8,46,ME1,M006_01,10060108,[8],272,16.91
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060108,8,Skalenwert 8,8,46,ME1,M006_01,10060108,Skalenwert 8,272,16.91
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060109,9,[9],9,34,ME1,M006_01,10060109,[9],272,12.5
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060109,9,Skalenwert 9,9,34,ME1,M006_01,10060109,Skalenwert 9,272,12.5
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060107,7,[7],7,12,ME1,M006_01,10060107,[7],272,4.41
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060107,7,Skalenwert 7,7,12,ME1,M006_01,10060107,Skalenwert 7,272,4.41
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060106,6,[6],6,8,ME1,M006_01,10060106,[6],272,2.94
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060106,6,Skalenwert 6,6,8,ME1,M006_01,10060106,Skalenwert 6,272,2.94
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060105,5,[5],5,4,ME1,M006_01,10060105,[5],272,1.47
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060105,5,Skalenwert 5,5,4,ME1,M006_01,10060105,Skalenwert 5,272,1.47
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060112,,No recorded response,NO_RECORDED_RESPONSE,4,ME1,M006_01,10060112,No recorded response,272,1.47
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060101,1,sehr schlecht [1],1,1,ME1,M006_01,10060101,sehr schlecht [1],272,0.37
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060103,3,[3],3,1,ME1,M006_01,10060103,[3],272,0.37
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060103,3,Skalenwert 3,3,1,ME1,M006_01,10060103,Skalenwert 3,272,0.37
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060104,4,[4],4,1,ME1,M006_01,10060104,[4],272,0.37
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M006_01,Gesamterfahrung: Wie w�rden Sie die Gesamterfahrung mit den zur Verf�gung gestellten Inhalten in diesem Modul bewerten?,http://digistrucmed.org/questionnaire#10060104,4,Skalenwert 4,4,1,ME1,M006_01,10060104,Skalenwert 4,272,0.37
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070102,,No recorded response,NO_RECORDED_RESPONSE,67,ME1,M007_01,10070102,No recorded response,166,40.36
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,gut.,5,ME1,M007_01,10070101,Textual response,166,3.01
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,alles,3,ME1,M007_01,10070101,Textual response,166,1.81
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,Alles !!!,2,ME1,M007_01,10070101,Textual response,166,1.2
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,video,1,ME1,M007_01,10070101,Textual response,166,0.6
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,"Gefallen hat mir die gut verst�ndliche Erl�uterungsweise des Textes, den ich bevorzugen w�rde. Aber auch Video und Quiz k�nnen sicherlich f�r anders geartete Personen hohen Lerneffekt haben.",1,ME1,M007_01,10070101,Textual response,166,0.6
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,Grunds�tzliches zu erfahren,1,ME1,M007_01,10070101,Textual response,166,0.6
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,Die detalierte beschreibung der einzelnen Ger�te,1,ME1,M007_01,10070101,Textual response,166,0.6
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,Keine meiner Probleme hat gepasst !Eine automatische Berichtigung w�re hilfreich,1,ME1,M007_01,10070101,Textual response,166,0.6
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,Das Video hat verst�ndlich aufgzeigt woher die Krankheitsymptome kommen.,1,ME1,M007_01,10070101,Textual response,166,0.6
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,"Ich arbeite gern mit/an Texten und bevorzuge deshallb die die Wissensvermittlung mit Texten. Auch das Video gefiel mir gut. Mit dem Quiz bin ich nicht klargekommen und wei� nicht, was ich falsch beantwortet habe - das sollte aber stets in einem Modul richtig gestellt werden.",1,ME1,M007_01,10070101,Textual response,166,0.6
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,Die einfache Erkl�rung und die abschlie�enden Video.,1,ME1,M007_01,10070101,Textual response,166,0.6
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,"Sehr verst�ndliche und umfassende Darstellung der D-Typen, der Implantation und evtl. auftretender Komplikationen. Perfekt!",1,ME1,M007_01,10070101,Textual response,166,0.6
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,Gut fand ich die verst�ndliche und trotzdem kurz gefasste Darstellung.,1,ME1,M007_01,10070101,Textual response,166,0.6
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M007_01,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,"Mir hat alles gut gefallen, da gut verst�ndlich und pr�gnant dargestellt.",1,ME1,M007_01,10070101,Textual response,166,0.6
